window,index,time,pnl,equity,dd_pct
MAIN,188,2023-11-06 21:45:20,0.57,9877.58,1.480351
MAIN,189,2023-11-06 23:04:40,0.46,9878.04,1.475763
MAIN,190,2023-11-07 01:19:00,0.48,9878.52,1.470975
MAIN,191,2023-11-08 17:23:40,-21.37,9857.15,1.684121
MAIN,192,2023-11-08 17:30:40,0.97,9858.12,1.674446
MAIN,193,2023-11-08 17:46:40,1.59,9859.71,1.658588
MAIN,194,2023-11-08 23:55:20,0.52,9860.23,1.653401
MAIN,195,2023-11-09 10:32:20,0.58,9860.81,1.647616
MAIN,196,2023-11-14 15:30:40,5.45,9866.26,1.593258
MAIN,197,2023-11-15 15:47:40,1.60,9867.86,1.577299
MAIN,198,2023-11-15 16:38:40,1.26,9869.12,1.564732
MAIN,199,2023-11-15 17:50:40,1.61,9870.73,1.548673
MAIN,200,2023-11-17 17:01:40,1.71,9872.44,1.531618
MAIN,201,2023-11-20 02:34:40,0.63,9873.07,1.525334
MAIN,202,2023-11-20 18:11:40,1.36,9874.43,1.511769
MAIN,203,2023-11-22 17:36:40,1.58,9876.01,1.496010
MAIN,204,2023-11-29 11:46:40,0.99,9877.00,1.486136
MAIN,205,2023-12-04 09:45:40,2.25,9879.25,1.463694
MAIN,206,2023-12-04 10:41:40,3.72,9882.97,1.426591
MAIN,207,2023-12-08 19:16:40,-67.91,9815.06,2.103930
MAIN,208,2023-12-08 20:19:20,1.42,9816.48,2.089767
MAIN,209,2023-12-08 20:37:40,1.52,9818.00,2.074606
MAIN,210,2023-12-08 21:22:40,1.31,9819.31,2.061540
MAIN,211,2023-12-11 05:10:40,0.77,9820.08,2.053860
MAIN,212,2023-12-11 07:27:40,0.71,9820.79,2.046778
MAIN,213,2023-12-11 10:04:40,1.22,9822.01,2.034610
MAIN,214,2023-12-12 02:35:40,1.95,9823.96,2.015161
MAIN,215,2023-12-13 08:30:40,0.58,9824.54,2.009376
MAIN,216,2023-12-15 15:49:40,2.10,9826.64,1.988430
MAIN,217,2023-12-15 20:37:40,1.42,9828.06,1.974267
MAIN,218,2023-12-18 03:12:40,0.17,9828.23,1.972571
MAIN,219,2023-12-20 14:06:40,0.78,9829.01,1.964792
MAIN,220,2023-12-20 14:32:40,0.77,9829.78,1.957112
MAIN,221,2023-12-26 16:02:40,0.67,9830.45,1.950429
MAIN,222,2023-12-26 16:55:20,0.99,9831.44,1.940555
MAIN,223,2023-12-28 10:36:20,0.90,9832.34,1.931578
MAIN,224,2023-12-28 15:33:40,1.01,9833.35,1.921504
MAIN,225,2023-12-28 22:00:40,1.20,9834.55,1.909535
MAIN,226,2023-12-28 22:26:40,0.89,9835.44,1.900658
MAIN,227,2023-12-29 02:19:40,-0.21,9835.23,1.902753
MAIN,228,2023-12-29 12:34:40,0.70,9835.93,1.895771
MAIN,229,2023-12-29 12:46:20,0.88,9836.81,1.886994
MAIN,230,2023-12-29 16:00:40,1.20,9838.01,1.875025
MAIN,231,2024-01-03 11:45:40,1.20,9839.21,1.863056
MAIN,232,2024-01-03 12:30:40,0.91,9840.12,1.853980
MAIN,233,2024-01-05 17:00:40,-0.50,9839.62,1.858967
MAIN,234,2024-01-09 12:34:40,0.12,9839.74,1.857770
MAIN,235,2024-01-10 08:15:40,0.61,9840.35,1.851686
MAIN,236,2024-01-10 20:54:40,0.82,9841.17,1.843507
MAIN,237,2024-01-11 21:11:40,1.34,9842.51,1.830142
MAIN,238,2024-01-16 10:50:40,0.70,9843.21,1.823160
MAIN,239,2024-01-16 15:43:40,1.54,9844.75,1.807800
MAIN,240,2024-01-17 08:42:40,0.79,9845.54,1.799920
MAIN,241,2024-01-17 17:09:40,1.37,9846.91,1.786256
MAIN,242,2024-01-18 08:23:40,-1.74,9845.17,1.803611
MAIN,243,2024-01-22 07:34:40,0.56,9845.73,1.798025
MAIN,244,2024-01-22 07:49:40,0.68,9846.41,1.791243
MAIN,245,2024-01-22 08:01:40,0.63,9847.04,1.784959
MAIN,246,2024-01-22 08:19:40,0.92,9847.96,1.775783
MAIN,247,2024-01-25 15:38:40,0.04,9848.00,1.775384
MAIN,248,2024-02-01 15:34:40,1.60,9849.60,1.759425
MAIN,249,2024-02-02 23:56:20,0.74,9850.34,1.752045
MAIN,250,2024-02-05 13:20:40,0.71,9851.05,1.744963
MAIN,251,2024-02-05 15:30:40,0.90,9851.95,1.735986
