window,index,time,pnl,equity,dd_pct
BWD,85,2021-09-21 15:25:40,7.86,10262.97,3.703346
BWD,86,2021-11-03 20:23:20,2.66,10265.63,3.678387
BWD,87,2021-11-23 03:44:40,2.68,10268.31,3.653241
BWD,88,2022-01-25 16:46:40,57.66,10325.97,3.112222
BWD,89,2022-01-25 16:46:40,35.00,10360.97,2.783819
BWD,90,2022-01-25 16:46:40,13.94,10374.91,2.653021
BWD,91,2022-01-25 16:46:40,5.34,10380.25,2.602917
BWD,92,2022-01-25 16:46:40,-3.37,10376.88,2.634537
BWD,93,2022-01-25 16:46:40,-11.25,10365.63,2.740095
BWD,94,2022-01-27 16:08:40,3.33,10368.96,2.708850
BWD,95,2022-01-27 21:10:40,3.58,10372.54,2.675259
BWD,96,2022-02-01 13:27:40,23.83,10396.37,2.451664
BWD,97,2022-02-01 13:27:40,15.65,10412.02,2.304821
BWD,98,2022-02-01 13:27:40,8.70,10420.72,2.223190
BWD,99,2022-03-29 16:49:20,4.67,10425.39,2.179371
BWD,100,2022-04-25 10:11:40,3.68,10429.07,2.144842
BWD,101,2022-04-29 10:52:40,43.34,10472.41,1.738186
BWD,102,2022-04-29 10:52:40,27.25,10499.66,1.482502
BWD,103,2022-04-29 10:52:40,13.57,10513.23,1.355176
BWD,104,2022-04-29 10:52:40,4.55,10517.78,1.312483
BWD,105,2022-04-29 10:52:40,-4.24,10513.54,1.352267
BWD,106,2022-05-02 18:37:40,4.83,10518.37,1.306947
BWD,107,2022-05-03 17:36:40,20.82,10539.19,1.111595
BWD,108,2022-05-03 17:36:40,11.19,10550.38,1.006600
BWD,109,2022-05-11 04:49:20,3.90,10554.28,0.970007
BWD,110,2022-05-16 12:27:40,4.42,10558.70,0.928534
BWD,111,2022-06-15 04:13:40,3.96,10562.66,0.891378
BWD,112,2022-07-01 16:04:20,4.26,10566.92,0.851406
BWD,113,2022-07-06 03:55:40,2.59,10569.51,0.827105
BWD,114,2022-07-06 09:48:40,3.14,10572.65,0.797642
BWD,115,2022-07-28 17:52:40,67.46,10640.11,0.164670
