schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H1,OUTSIDE_DEFINED_SESSION,2,0.06060606,16.42,0.00,16.42,,2,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H4,ASIA,4,0.10000000,54.36,0.00,54.36,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H4,LONDON,11,0.27500000,91.23,0.00,91.23,,11,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H4,LONDON_NY_OVERLAP,14,0.35000000,100.71,197.45,-96.74,0.510053,13,1,0,197.45
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H4,NEW_YORK_ONLY,6,0.15000000,76.44,0.00,76.44,,6,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H4,OUTSIDE_DEFINED_SESSION,5,0.12500000,76.45,0.00,76.45,,5,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,M15,ASIA,4,0.15384615,40.54,0.00,40.54,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,M15,LONDON,9,0.34615385,88.55,0.00,88.55,,9,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,M15,LONDON_NY_OVERLAP,10,0.38461538,46.66,187.41,-140.75,0.248973,9,1,0,187.41
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,M15,NEW_YORK_ONLY,3,0.11538462,37.94,0.00,37.94,,3,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H1,ASIA,3,0.18750000,50.07,0.00,50.07,,3,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H1,LONDON,7,0.43750000,98.07,0.00,98.07,,7,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H1,LONDON_NY_OVERLAP,6,0.37500000,27.28,217.66,-190.38,0.125333,5,1,0,217.66
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H4,ASIA,2,0.08695652,20.12,0.00,20.12,,2,0,0,0.00
