"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"28","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.89","358","-49.60","1.01","41.34","-1.85","OK"
"29","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","1.10","253","25.18","0.26","49.41","1.55","OK"
"29","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS1","0.89","120","-14.73","0.41","46.67","-1.82","OK"
"29","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.86","358","-67.24","1.26","43.85","-2.27","OK"
"30","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult1.5","IS","1.12","253","27.97","0.17","38.34","1.99","OK"
"30","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS1","0.91","120","-10.82","0.36","35.83","-1.66","OK"
"30","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS2","0.82","358","-72.52","1.29","32.96","-2.98","OK"
"31","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","1.17","253","41.64","0.22","43.87","2.52","OK"
"31","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS1","0.91","120","-10.92","0.39","42.50","-1.41","OK"
"31","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.92","358","-34.43","0.91","40.78","-1.17","OK"
"32","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","1.15","253","40.70","0.26","47.43","2.25","OK"
"32","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS1","0.91","120","-12.10","0.41","45.83","-1.42","OK"
"32","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.90","358","-48.82","1.13","43.30","-1.51","OK"
"33","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult1.5","IS","1.12","253","28.21","0.29","37.15","1.90","OK"
"33","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS1","0.94","120","-7.53","0.37","35.83","-1.10","OK"
"33","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS2","0.82","358","-72.68","1.16","32.68","-2.87","OK"
"34","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","1.15","253","38.77","0.33","42.69","2.23","OK"
"34","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS1","0.94","120","-7.63","0.39","42.50","-0.94","OK"
"34","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.92","358","-33.87","0.79","40.50","-1.11","OK"
"35","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","1.14","253","38.99","0.40","46.25","2.05","OK"
"35","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS1","0.93","120","-8.81","0.41","45.83","-1.00","OK"
"35","TpAtrMult5.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.90","358","-47.48","0.98","43.02","-1.42","OK"
"36","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult1.5","IS","0.98","440","-6.46","0.26","43.64","-0.37","OK"
"36","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS1","0.82","177","-30.09","0.57","40.11","-3.98","OK"
"36","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS2","0.86","551","-80.35","1.13","39.93","-3.12","OK"
"37","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.0","IS","1.04","440","15.56","0.29","50.45","0.73","OK"
"37","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS1","0.87","177","-22.32","0.54","47.46","-2.45","OK"
"37","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS2","0.89","551","-67.40","1.10","46.64","-2.14","OK"
"38","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.5","IS","1.04","440","15.35","0.33","54.32","0.65","OK"
"38","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS1","0.86","177","-25.46","0.58","50.28","-2.51","OK"
"38","TpAtrMult2.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS2","0.87","551","-84.86","1.38","49.55","-2.39","OK"
"39","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult1.5","IS","0.93","440","-30.76","0.46","37.05","-1.36","OK"
"39","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS1","0.79","177","-37.30","0.66","36.16","-4.20","OK"
"39","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS2","0.82","551","-109.64","1.45","34.48","-3.37","OK"
"40","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.0","IS","1.00","440","2.17","0.39","44.09","0.08","OK"
"40","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS1","0.82","177","-34.45","0.74","42.94","-3.21","OK"
"40","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS2","0.85","551","-101.19","1.38","40.47","-2.59","OK"
"41","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.5","IS","1.01","440","3.71","0.43","47.95","0.13","OK"
"41","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS1","0.80","177","-39.45","0.79","45.76","-3.34","OK"
"41","TpAtrMult3.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS2","0.82","551","-131.77","1.77","42.83","-3.01","OK"
"42","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult1.5","IS","0.98","440","-9.02","0.38","35.45","-0.36","OK"
"42","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS1","0.82","177","-32.29","0.64","35.59","-3.41","OK"
"42","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS2","0.84","551","-102.34","1.42","33.39","-2.86","OK"
"43","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.0","IS","1.06","440","26.94","0.38","42.27","0.90","OK"
"43","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS1","0.83","177","-32.26","0.74","42.37","-2.83","OK"
"43","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS2","0.87","551","-90.16","1.33","39.56","-2.10","OK"
"44","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.5","IS","1.06","440","29.95","0.42","45.91","0.92","OK"
"44","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS1","0.81","177","-37.83","0.79","45.20","-3.03","OK"
"44","TpAtrMult4.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS2","0.85","551","-116.06","1.69","41.92","-2.43","OK"
"45","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult1.5","IS","0.98","440","-8.29","0.46","34.55","-0.31","OK"
"45","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS1","0.84","177","-28.57","0.64","35.59","-2.89","OK"
"45","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult1.5","OOS2","0.83","551","-103.64","1.39","33.03","-2.77","OK"
"46","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.0","IS","1.04","440","20.60","0.46","41.14","0.66","OK"
"46","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS1","0.85","177","-28.54","0.73","42.37","-2.42","OK"
"46","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.0","OOS2","0.87","551","-90.38","1.30","39.20","-2.02","OK"
"47","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.5","IS","1.05","440","23.26","0.50","44.77","0.68","OK"
"47","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS1","0.83","177","-34.11","0.79","45.20","-2.64","OK"
"47","TpAtrMult5.0_ConsoAtrMult2.5_SlAtrMult2.5","OOS2","0.85","551","-114.13","1.65","41.56","-2.30","OK"
