window,index,time,pnl,equity,dd_pct
MAIN,146,2024-07-12 01:02:40,1.20,10110.27,0.000000
MAIN,147,2024-07-12 03:00:40,1.53,10111.80,0.000000
MAIN,148,2024-07-12 18:24:40,0.96,10112.76,0.000000
MAIN,149,2024-07-15 00:03:00,1.07,10113.83,0.000000
MAIN,150,2024-07-24 07:10:40,-18.84,10094.99,0.186280
MAIN,151,2024-07-24 08:21:40,0.74,10095.73,0.178963
MAIN,152,2024-07-24 10:11:40,0.72,10096.45,0.171844
MAIN,153,2024-07-24 11:08:40,0.76,10097.21,0.164329
MAIN,154,2024-07-26 14:15:40,1.11,10098.32,0.153354
MAIN,155,2024-07-31 01:52:40,0.93,10099.25,0.144159
MAIN,156,2024-07-31 05:11:40,3.08,10102.33,0.113706
MAIN,157,2024-07-31 21:01:20,2.08,10104.41,0.093140
MAIN,158,2024-08-02 16:00:40,1.71,10106.12,0.076232
MAIN,159,2024-08-02 17:01:40,2.17,10108.29,0.054776
MAIN,160,2024-08-02 18:46:20,1.51,10109.80,0.039846
MAIN,161,2024-08-02 19:02:40,2.01,10111.81,0.019973
MAIN,162,2024-08-07 04:46:40,4.45,10116.26,0.000000
MAIN,163,2024-08-19 07:05:20,0.82,10117.08,0.000000
MAIN,164,2024-08-19 13:00:40,1.57,10118.65,0.000000
MAIN,165,2024-08-20 21:05:40,0.89,10119.54,0.000000
MAIN,166,2024-08-21 03:07:40,0.75,10120.29,0.000000
MAIN,167,2024-08-21 22:23:40,1.12,10121.41,0.000000
MAIN,168,2024-08-26 18:20:20,0.85,10122.26,0.000000
MAIN,169,2024-09-04 10:13:40,0.94,10123.20,0.000000
MAIN,170,2024-09-04 18:05:40,0.94,10124.14,0.000000
MAIN,171,2024-09-05 17:42:40,1.10,10125.24,0.000000
MAIN,172,2024-09-06 11:15:20,0.74,10125.98,0.000000
MAIN,173,2024-09-11 10:34:40,0.89,10126.87,0.000000
MAIN,174,2024-09-13 08:14:40,0.89,10127.76,0.000000
MAIN,175,2024-09-13 09:16:40,0.88,10128.64,0.000000
MAIN,176,2024-09-13 14:30:40,1.04,10129.68,0.000000
MAIN,177,2024-09-13 17:00:40,1.18,10130.86,0.000000
MAIN,178,2024-09-16 12:16:40,0.71,10131.57,0.000000
MAIN,179,2024-09-30 01:01:40,1.81,10133.38,0.000000
MAIN,180,2024-09-30 09:05:40,0.91,10134.29,0.000000
MAIN,181,2024-10-15 13:14:40,0.44,10134.73,0.000000
MAIN,182,2024-10-21 07:18:20,0.44,10135.17,0.000000
MAIN,183,2024-10-31 10:06:40,0.75,10135.92,0.000000
MAIN,184,2024-11-07 18:15:40,0.79,10136.71,0.000000
MAIN,185,2024-11-08 14:10:40,0.65,10137.36,0.000000
MAIN,186,2024-11-18 03:06:40,1.45,10138.81,0.000000
MAIN,187,2024-11-27 04:06:40,0.81,10139.62,0.000000
MAIN,188,2024-12-11 11:57:40,1.13,10140.75,0.000000
MAIN,189,2024-12-17 20:17:40,0.54,10141.29,0.000000
MAIN,190,2024-12-17 22:01:40,0.52,10141.81,0.000000
