"report_date","open_interest","net_noncomm","net_comm","net_pct_3y"
"2022-06-07","494130","175268","-199886","7.7"
"2022-06-14","497456","154598","-178569","0.6"
"2022-06-21","500276","163287","-186929","1.9"
"2022-06-28","497005","157693","-182007","1.3"
"2022-07-05","498210","145660","-165585","0.6"
"2022-07-12","542493","118121","-137788","0.6"
"2022-07-19","524786","94955","-112262","0.6"
"2022-07-26","487515","92690","-108422","0.6"
"2022-08-02","459649","124326","-135565","2.6"
"2022-08-09","453540","142851","-154554","3.2"
"2022-08-16","453960","141164","-153709","3.2"
"2022-08-23","457762","125847","-138072","3.2"
"2022-08-30","459165","117734","-129679","1.9"
"2022-09-06","465908","103857","-114064","1.9"
"2022-09-13","463674","97344","-110938","1.9"
"2022-09-20","469395","65722","-75428","0.6"
"2022-09-27","457061","52081","-62138","0.6"
"2022-10-04","437065","88385","-96548","1.9"
"2022-10-11","431395","94420","-103728","3.2"
"2022-10-18","434701","76956","-90030","1.9"
"2022-10-25","456072","68032","-80213","1.9"
"2022-11-01","467276","64623","-74782","1.3"
"2022-11-08","488471","82338","-91144","3.8"
"2022-11-15","495171","126269","-134308","10.9"
"2022-11-22","449542","116113","-130064","8.3"
"2022-11-29","433661","110003","-119233","8.3"
"2022-12-06","422100","115125","-130079","9"
"2022-12-13","437040","125649","-138529","12.2"
"2022-12-20","436653","128848","-142514","14.1"
"2022-12-27","440040","136880","-153776","14.7"
"2023-01-03","449393","141666","-159974","16"
"2023-01-10","481519","150535","-172478","17.9"
"2023-01-17","491818","153240","-175913","18.6"
"2023-01-24","499927","157673","-180554","19.9"
"2023-01-31","471642","160281","-180520","21.2"
"2023-02-07","439755","128815","-152966","14.1"
"2023-02-14","426116","105529","-129072","8.3"
"2023-02-21","422648","107101","-129355","9"
"2023-02-28","426890","108593","-127487","9.6"
"2023-03-07","458474","98474","-118920","7.7"
"2023-03-14","459064","140331","-155440","18.6"
"2023-03-21","469874","158605","-183568","25"
"2023-03-28","478611","181630","-201508","37.2"
"2023-04-04","476592","195216","-218250","47.4"
"2023-04-11","476567","192745","-216548","45.5"
"2023-04-18","482254","189893","-216425","42.9"
"2023-04-25","473209","185264","-211928","39.7"
"2023-05-02","493804","195567","-217584","50"
"2023-05-09","518951","195814","-222515","50.6"
"2023-05-16","521832","179814","-211557","35.3"
"2023-05-23","479080","160732","-187023","26.3"
"2023-05-30","449515","169316","-190005","30.8"
"2023-06-06","436301","175641","-198187","36.5"
"2023-06-13","432898","160209","-186062","25.6"
"2023-06-20","438037","162975","-186537","28.2"
"2023-06-27","431861","151910","-175335","22.4"
"2023-07-03","448063","163097","-184717","29.5"
"2023-07-11","483170","165754","-187749","30.8"
"2023-07-18","482104","193348","-213715","53.8"
"2023-07-25","476176","173639","-198210","37.2"
"2023-08-01","439383","164924","-186845","30.8"
"2023-08-08","427759","142985","-167554","21.2"
"2023-08-15","433611","121136","-141930","14.1"
"2023-08-22","430239","101946","-121036","8.3"
"2023-08-29","442806","123272","-140594","15.4"
"2023-09-05","438672","138006","-158239","20.5"
"2023-09-12","441221","123864","-144810","16"
"2023-09-19","438078","135163","-152932","20.5"
"2023-09-26","435620","115815","-134836","12.8"
"2023-10-03","431226","91226","-111982","5.1"
"2023-10-10","436499","71433","-90428","3.2"
"2023-10-17","439581","112738","-127999","13.5"
"2023-10-24","463476","149385","-165873","28.8"
"2023-10-31","475808","163425","-182707","38.5"
"2023-11-07","484347","166216","-186091","41"
"2023-11-14","486634","155376","-177019","32.1"
"2023-11-21","508429","171705","-190235","46.2"
"2023-11-28","505658","200084","-218592","73.1"
"2023-12-05","487469","203544","-226945","74.4"
"2023-12-12","469939","188233","-212808","59.6"
"2023-12-19","481203","201339","-227058","74.4"
"2023-12-26","491343","207718","-232345","77.6"
"2024-01-02","500364","207649","-235478","77.6"
"2024-01-09","489849","188614","-217701","60.3"
"2024-01-16","489334","179893","-207420","52.6"
"2024-01-23","465872","169474","-192093","44.9"
"2024-01-30","430328","147791","-170518","28.8"
"2024-02-06","419121","161738","-180241","37.2"
"2024-02-13","420812","131168","-152980","23.1"
"2024-02-20","407063","140262","-159411","25.6"
"2024-02-27","411195","141636","-158352","27.6"
"2024-03-05","471616","191293","-206792","66.7"
"2024-03-12","516057","201602","-218273","78.8"
"2024-03-19","535047","201602","-217530","78.8"
"2024-03-26","503642","199294","-218340","75"
"2024-04-02","500045","207250","-225714","81.4"
"2024-04-09","505214","202419","-224582","78.8"
"2024-04-16","517193","201923","-222758","77.6"
"2024-04-23","516249","202891","-226872","78.8"
"2024-04-30","519791","204210","-227498","79.5"
"2024-05-07","529835","199567","-227266","72.4"
"2024-05-14","522952","204496","-232110","79.5"
"2024-05-21","530591","229806","-258663","92.3"
"2024-05-28","485430","236585","-260950","92.9"
"2024-06-04","447488","237302","-265931","92.9"
"2024-06-11","436857","233926","-260511","91"
"2024-06-18","444345","243084","-267730","93.6"
"2024-06-25","452190","246229","-271488","94.9"
"2024-07-02","454730","241543","-264799","92.3"
"2024-07-09","516324","254775","-280629","96.8"
"2024-07-16","579862","285024","-309304","100"
"2024-07-23","572306","273074","-300925","98.7"
"2024-07-30","510914","246601","-272857","92.9"
"2024-08-06","480645","238749","-269034","88.5"
"2024-08-13","505872","267264","-292502","98.1"
"2024-08-20","532867","291253","-316506","100"
"2024-08-27","521759","294445","-322319","100"
"2024-09-03","511136","287558","-311887","98.7"
"2024-09-10","511501","282501","-306899","97.4"
"2024-09-17","537627","310066","-335127","100"
"2024-09-24","564640","315390","-339706","100"
"2024-10-01","533107","299931","-327524","98.7"
"2024-10-08","520316","278180","-303976","94.9"
"2024-10-15","541232","286434","-312658","96.2"
"2024-10-22","573760","296204","-324701","98.1"
"2024-10-29","579468","278653","-303671","93.6"
"2024-11-05","558034","255329","-283059","87.8"
"2024-11-12","535981","236451","-265582","79.5"
"2024-11-19","502952","234367","-262322","78.8"
"2024-11-26","472660","250338","-272520","86.5"
"2024-12-03","462040","259736","-286275","89.7"
"2024-12-10","483346","275586","-296871","92.3"
