"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"(oh) pun fix lot v05","(OH) EA\(oh) pun fix lot v05.ex5","unknown-ea","EURUSD","500","MS5_0013_M2_EURUSD.htm","True","MS5_0013_M1_EURUSD.htm","1.63","1913","675.15","3.19","Tier A","","13"
"(oh) pun fix lot v05","(OH) EA\(oh) pun fix lot v05.ex5","unknown-ea","USDJPY","496","MS5_0013_M2_USDJPY.htm","True","MS5_0013_M1_USDJPY.htm","1.63","1913","681.33","3.18","Tier A","","13"
"(oh) pun fix lot v05","(OH) EA\(oh) pun fix lot v05.ex5","unknown-ea","AUDNZD","491","MS5_0013_M2_AUDNZD.htm","True","MS5_0013_M1_AUDNZD.htm","1.47","1913","559.52","3.29","Tier A","","13"
"(oh) pun lot hedging v15","(OH) EA\(oh) pun lot hedging v15.ex5","grid-recovery","XAUUSD","122","MS5_0014_M2_XAUUSD.htm","True","MS5_0014_M1_XAUUSD.htm","0.65","4296","-9174.58","96.24","Reject","","14"
"(oh) pun lot hedging v15","(OH) EA\(oh) pun lot hedging v15.ex5","grid-recovery","EURUSD","384","MS5_0014_M2_EURUSD.htm","True","MS5_0014_M1_EURUSD.htm","1.05","1280","1024.09","23.85","Tier A","","14"
"(oh) pun lot hedging v15","(OH) EA\(oh) pun lot hedging v15.ex5","grid-recovery","USDJPY","221","MS5_0014_M2_USDJPY.htm","True","MS5_0014_M1_USDJPY.htm","1.17","1382","1878.87","27.06","Tier A","","14"
"(oh) pun lot hedging v15","(OH) EA\(oh) pun lot hedging v15.ex5","grid-recovery","AUDNZD","537","MS5_0014_M2_AUDNZD.htm","True","MS5_0014_M1_AUDNZD.htm","0.49","195","-10240.09","102.38","Reject","","14"
"(oh) TP Revenge v06","(OH) EA\(oh) TP Revenge v06.ex5","unknown-ea","XAUUSD","0","MS5_0015_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","15"
"(oh) TP Revenge v06","(OH) EA\(oh) TP Revenge v06.ex5","unknown-ea","EURUSD","1","MS5_0015_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","15"
"(oh) TP Revenge v06","(OH) EA\(oh) TP Revenge v06.ex5","unknown-ea","USDJPY","0","MS5_0015_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","15"
"(oh) TP Revenge v06","(OH) EA\(oh) TP Revenge v06.ex5","unknown-ea","AUDNZD","0","MS5_0015_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","15"
"(Oh) ZZ EA V05A","(OH) EA\(Oh) ZZ EA V05A.ex5","unknown-ea","XAUUSD","0","MS5_0016_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","16"
"(Oh) ZZ EA V05A","(OH) EA\(Oh) ZZ EA V05A.ex5","unknown-ea","EURUSD","2","MS5_0016_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","16"
"(Oh) ZZ EA V05A","(OH) EA\(Oh) ZZ EA V05A.ex5","unknown-ea","USDJPY","0","MS5_0016_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","16"
"(Oh) ZZ EA V05A","(OH) EA\(Oh) ZZ EA V05A.ex5","unknown-ea","AUDNZD","2","MS5_0016_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","16"
"(Oh) ZZ EA V05B","(OH) EA\(Oh) ZZ EA V05B.ex5","unknown-ea","XAUUSD","0","MS5_0017_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","17"
"(Oh) ZZ EA V05B","(OH) EA\(Oh) ZZ EA V05B.ex5","unknown-ea","EURUSD","2","MS5_0017_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","17"
