platform,hash,path,guess_symbol,guess_type
ex5,2d25b70f456364158007eef16a9f3082,.EA OK\TradeGPT MT5\TradeGPT MT5 @PaidCrackedEA\EA\TradeGPT.ex5,basket,unknown-ea
ex4,89dea5bc7eedf1d2c2a9b4e7a0378fa1,.EA OK\Waka Waka EA V4.37 No DLL.ex4,basket,unknown-ea
ex4,ab9198b79a7171f5e06a4b1a3f1c5951,.Forexbookthai\.EA\.Not work\Link DL Hedging Profit EA v2\Link DL Hedging Profit EA v2 - Copy\Experts\Hedgingprofit EA v2.ex4,basket,grid-recovery
ex4,abd11e995330cf887b501a962212cd28,.Forexbookthai\.EA\1-AW Recovery\Experts\AW Recovery EA V3.3_NEW.ex4,basket,grid-recovery
ex4,b5a8ae8722993ea60cd64fbbd8c1dcec,.Forexbookthai\.EA\2-Equity Sentry\Equity Sentry v1.4c.ex4,basket,unknown-ea
ex4,b745c68bc327f2f4f43111b94060742c,.Forexbookthai\.EA\3-Rescue Bot\Rescue EA 456 OZ.ex4,basket,unknown-ea
ex4,0de720a673333b6237f84752f3bfc30d,.Forexbookthai\.EA\4-Mood\Experts\Mood 2.0.ex4,basket,unknown-ea
ex4,9e2dfee92bafa48efdd5a7d5aee5c5e4,.Forexbookthai\.EA\5-EA Close All Assist\Close All Assist.ex4,basket,unknown-ea
ex4,182d9c2d8a60eb063bfcda2fce7f2175,.Forexbookthai\.EA\EA Simulator v2\Link download EA Simulator v2\Experts\EA Simulator v202.ex4,basket,unknown-ea
ex4,3b8f6b81bc2c94e384a37001e00e02ba,.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Expert+Preset\Set3 Apadana\Experts\Apandana Golden V2.ex4,XAUUSD,unknown-ea
ex4,a5ff9a8c215e35ab2dbbc18837c1b580,.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Expert+Preset\Set4 Elise Hedging EA\Experts\Elise Hedging EA.ex4,basket,grid-recovery
ex4,68213855c036cafd2dd7c87bb330abdf,.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Expert+Preset\Set5 Alpha Striker SMC\Experts\Alpha Striker SMC.ex4,basket,unknown-ea
ex4,00d642752349f03f6657ed2dd4f3c179,.Forexbookthai\.EA\Link Download Grid V3\Experts\Hybrid-Grid v3.ex4,basket,grid-recovery
ex4,36866ad35cf2d7bda1651f278f441936,.Forexbookthai\.EA\Link Download Grid V3\Experts\ตัวเดโม่-ใช้ทดสอบกับเดโม่ก่อนใช้งานจริง\Hybrid-Grid v3 Demo.ex4,basket,grid-recovery
ex4,b6d3ef16747dfee8e7f3a973c9383c04,.Forexbookthai\EA\Link DL AI GEN XII\AI Gen XII EA V1.6 MT4 (1420+)\Experts\AI Gen XII v1.6.ex4,basket,unknown-ea
ex4,624e043f4967577b560444ea983c2ff6,.Forexbookthai\EA\Link DL AI GEN XII\AI Gen XII EA V1.90\Experts\AI Gen XII 1.9.ex4,basket,unknown-ea
ex4,752796306dde86892c2329586418a73b,.Forexbookthai\EA\Link DL AI GEN XII\AI Gen XII EA V2.3 MT4 (1421)\Experts\AI Gen XII v2.3 build 1421.ex4,basket,unknown-ea
