"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","rough_family","already_known"
"aillmtradingtrailingea","5","D:\Forex\50_KNOWLEDGE\02_Courses\3. Course AI WOBR\Day3 AI Trading Agent\AI 6 LLM Trading Trailing (ea1).mq5","559.5","","n","other","y"
"mn","5","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\AI workshop3\EA10\MN\MN V1.0.mq5","476","","y","other","y"
"profitdriver","5","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\AI workshop3\EA10\Profit Driver\Profit Driver.mq5","361.2","","y","other","y"
"jobotaigeneanews","4","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\EA_For_AIGen_Video\05 - AIGEN EA News\(Jobot) AIGEN EA News.mq5","433.4","news","y","other","n"
"bossgrowuprevdynamiclot","4","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Boss) grow up\(Boss) grow up rev 1.3 dynamic lot.mq5","379","","y","other","n"
"jobotgoldlogarithmwaystpdynamic","4","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\EA_For_AIGen_Video\03 - Gold Logarithm 2 ways TP Dynamic\(Jobot) Gold Logarithm 2 ways TP Dynamic.mq5","331.7","","y","other","n"
"joboteanewsforbacktest","4","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\EA_For_AIGen_Video\05 - AIGEN EA News\(Jobot) EA News ForBacktest.mq5","440.7","news","y","other","n"
"socoolavorderunlimitmtfinal","4","D:\Forex\10_EA_PROJECTS\1. review EA\2. More test and adapt\so cool  AV  order  unlimit mt5 FINAL.mq5","461","","y","other","n"
"demarkchannel","3","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Indicators\Free Indicators\DeMark Channel.mq5","8.3","","n","other","y"
"colorbars","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ColorBars.mq5","3","","n","other","y"
"cho","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\CHO.mq5","5.2","","n","other","y"
"woodiechannel","3","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Indicators\Free Indicators\Woodie Channel.mq5","9.9","","n","other","y"
"sakkharinea","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Sakkharin-EA.mq5","531.1","","n","other","y"
"vidya","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\VIDYA.mq5","3.7","","n","other","y"
"mi","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\MI.mq5","4.8","","n","other","y"
"fractals","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Fractals.mq5","3.3","","n","other","y"
"murreymathchannel","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Free Indicators\MurreyMath Channel.mq5","14.8","","n","other","y"
"jobotrvicurrenciesstrengthatr","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week9\(Jobot) RVI Currencies Strength ATR.mq5","640","ATR;news","y","other","n"
"lbadvancetradingrobotnoincreasetradingefficiency","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\LB79 - Advance Trading Robot No.19 [Increase Trading Efficiency] ..mq5","514.2","","n","other","y"
