"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","has_mart_block","rough_family","already_known"
"tsd_tr_0_2_midweekswitch","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TSD-TR_0.2-midweekswitch.mq4","13.8","iCustom|iMACD|iWPR|iForce","y","n","breakout","n"
"tsd_v11_mt4_jb_osma_beta_0_3_23sep","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TSD-v11-MT4-JB-OsMA beta 0.3(23SEP05).mq4","11.4","iMACD|iForce","n","n","breakout","n"
"universalmacrossea","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\UniversalMACrossEA.mq4","15.8","iMA","n","n","trend","n"
"universalmacrossea_martingale","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\UniversalMACrossEA_Martingale.mq4","16.8","iMA","n","y","trend","n"
"vs_channeltrend","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\VS_ChannelTrend_V1.0.mq4","15.1","","n","n","breakout","n"
"alpha","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\Alpha\Alpha V1.0.mq4","464.2","iRSI|iSAR|iATR","n","y","reversion","y"
"bev","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\BEV\BEV V1.0.mq4","380.9","iBands","n","y","breakout","y"
"ghost_bot_01_g","5","D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\Ghost Bot 01 G07 (1).mq4","610.9","","n","n","other","n"
"hedgeadx","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\HedgeAdx\HedgeAdx V1.0.mq4","288.7","iADX","n","y","breakout","y"
"jobot_close_all_button","5","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL4\Experts\(Jobot) Close All Button.mq4","87.4","","n","n","other","n"
"jobot_close_all_script","5","D:\Forex\10_EA_PROJECTS\0. Jobot\(Jobot) Close All Script .mq4","150.2","","n","n","other","n"
"me_close_all_v","5","D:\Forex\01_INBOX_NEW\2.2 EA test\1 mar 24\me_Close_All v1.mq4","5.2","","n","n","other","n"
"mn","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\MN\MN V1.0.mq4","447.6","iBands","n","y","other","y"
"profit_driver","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\Profit Driver\Profit Driver.mq4","339.8","iSAR","n","y","breakout","n"
