"token","name","realm","price","sym","tf","days","trades","pf","dd","ai"
"FQI6842","11-3-4 Alligator+AO Log ATR Tower Master mq5","Others","19599","EURUSD","60","263","227","2.17","0.08039","62.4611780917739"
"XFH2045","11-17-18 Alligator+AO Log Lot Indy LossControl mq5","Others","19599","EURUSD","60","263","233","2.57","0.03857","61.8120332083791"
"RED4479","1-17-7 BB RSI Log Lot Indy MACD Master mq5","Others","19599","GBPUSD","60","263","697","2.42","0.14824","61.116480327414"
"TCY1129","1-1-2 BB RSI x ATR DualStar mq4","Others","19599","EURUSD","60","261","484","1.29","0.31692","61.1149061684293"
"FFR7609","11-25-19 Alligator+AO Lot SD DualGuard mq5","Others","19599","XAUUSD","60","307","343","1.21","0.14149","61.0522142870386"
"LWP8705","11-21-21 Alligator+AO Log Pyramid Trend Split Pro mq5","Others","19599","EURUSD","60","263","378","3","0.22438","60.9842926976697"
"DSF5782","1-14-20 BB RSI X After Profit DynamicClose mq5","Others","19599","EURGBP","60","242","560","2.25","0.34539","60.944899275414"
"SNY4498","11-24-14 Alligator+AO Plus Anti BB Master mq5","Others","19599","EURUSD","60","263","796","2.98","0.18391","60.6998822992726"
"YAI9368","11-14-17 Alligator+AO X After Profit All Perfect mq5","Others","19599","EURUSD","60","263","774","1.66","0.18574","60.4388219672639"
"BPX9516","11-21-19 Alligator+AO Log Pyramid DualGuard mq5","Others","19599","EURUSD","60","263","286","1.83","0.13008","60.2057911868165"
"EBK3915","4.1.36-Martingale Dow Theory Trailing Stop.mq4","Others","19599","EURUSD","60","263","427","1.83","0.10814","60.1774204315671"
"JWN2138","11-14-8 Alligator+AO X After Profit ATR Guard mq5","Others","19599","EURUSD","60","263","882","1.72","0.18695","60.0935245035509"
"LAX8162","2-3-32 MA+MACD Log ATR ADX+MFI mq5","Others",,"EURUSD","60","263","3232","1.49","0.20723","60.0371021894998"
"FIL1052","11-21-18 Alligator+AO Log Pyramid LossControl mq5","Others","19599","EURUSD","60","263","251","1.59","0.09514","59.6542785223512"
"ZHB1749","4.3.37-ICHIMOKU+ADX Log ATR Last Stand","Others","19599","XAUUSD","15","24","249","1.78","0.3076","59.5792764684484"
