variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
OVERLAP_OFF,GBP_H4,BWD,2020,True,17,27,1.4847,91.36,0.061994,0.0
OVERLAP_OFF,GBP_H4,BWD,2021,True,1,1,,1.24,0.002237,0.0
OVERLAP_OFF,GBP_H4,BWD,2022,True,4,29,0.1692,-1167.45,0.397632,1225.87
OVERLAP_OFF,GBP_H4,MAIN,2023,True,16,17,,53.31,0.023921,0.0
OVERLAP_OFF,GBP_H4,MAIN,2024,True,21,21,,28.19,0.006622,0.0
OVERLAP_OFF,GBP_H4,MAIN,2025,True,17,22,1.9285,61.18,0.101199,0.0
OVERLAP_OFF,USDJPY_H1,BWD,2020,True,90,98,0.7357,-44.89,0.147307,85.54
OVERLAP_OFF,USDJPY_H1,BWD,2021,True,75,76,7.0106,56.5,0.064016,9.4
OVERLAP_OFF,USDJPY_H1,BWD,2022,True,78,90,0.5356,-158.69,0.107397,341.1
OVERLAP_OFF,USDJPY_H1,MAIN,2023,True,96,104,2.5154,137.39,0.054499,58.09
OVERLAP_OFF,USDJPY_H1,MAIN,2024,True,75,90,1.5451,110.32,0.083654,92.64
OVERLAP_OFF,USDJPY_H1,MAIN,2025,True,68,80,1.2964,48.72,0.150661,79.41
OVERLAP_OFF,XAU_M15,BWD,2020,False,119,350,1.163,567.33,0.159795,973.14
OVERLAP_OFF,XAU_M15,BWD,2021,False,85,309,0.8617,-513.86,0.227804,953.85
OVERLAP_OFF,XAU_M15,BWD,2022,False,86,293,0.654,-1423.87,0.146543,2047.18
OVERLAP_OFF,XAU_M15,MAIN,2023,True,93,328,0.7382,-1151.19,0.208552,1754.41
OVERLAP_OFF,XAU_M15,MAIN,2024,True,145,410,1.1832,728.37,0.160995,1168.32
OVERLAP_OFF,XAU_M15,MAIN,2025,True,212,475,1.2292,1065.22,0.083731,1497.52
PIPFLOOR_OFF,EUR_H4,BWD,2020,True,6,26,4.8513,123.78,0.087615,0.0
PIPFLOOR_OFF,EUR_H4,BWD,2021,True,9,20,5.2392,109.71,0.047147,0.0
PIPFLOOR_OFF,EUR_H4,BWD,2022,True,5,79,0.4146,-758.72,0.408527,760.46
PIPFLOOR_OFF,EUR_H4,MAIN,2023,True,13,44,4.1026,225.22,0.166447,0.0
PIPFLOOR_OFF,EUR_H4,MAIN,2024,True,5,24,4.4263,99.19,0.198649,0.0
PIPFLOOR_OFF,EUR_H4,MAIN,2025,True,5,52,0.874,-53.57,0.221355,203.14
PIPFLOOR_OFF,GBP_H4,BWD,2020,True,16,40,0.7966,-99.75,0.071047,301.64
PIPFLOOR_OFF,GBP_H4,BWD,2021,True,9,46,4.1991,304.39,0.133921,0.0
PIPFLOOR_OFF,GBP_H4,BWD,2022,True,8,69,0.3436,-987.62,0.136072,1080.56
PIPFLOOR_OFF,GBP_H4,MAIN,2023,True,6,38,1.7433,117.44,0.131435,0.0
