variant,context,symbol,tf,window,pf,net,trades,native_eqdd_pct,report_sha256,set_sha256,build_receipt,ex5_sha256,source,sidecar_truncated,cage_kill_confirmed,full_window_eligible,parse_error
DEPTH4,XAU_M15,XAUUSD,M15,BWD,0.96,-324.71,1008,17.54,c255810cfdca9597665a10c9c475df4aca599481e7258d2fd551ef4299262601,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH4,XAU_M15,XAUUSD,M15,MAIN,1.27,1969.98,1153,6.73,7e7d6e966e76ac3eea73a35e70e106d78351727d15c5c25c854b85f7af3a0b78,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH5,EUR_H4,EURUSD,H4,BWD,0.21,-586.02,48,9.25,8009f8e8800cf3415e7aa0deb12670e236224ea3b178fd0b90d4b3b59e5d6824,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH5,EUR_H4,EURUSD,H4,MAIN,6.39,126.54,64,1.42,66ac02896a9a607a840bd6c3f68fbe7d683af8436f90a5bf8f2f1d3e5cfabaae,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH5,GBP_H4,GBPUSD,H4,BWD,0.41,-718.04,56,10.99,39dfa2ba60ab795e7e231ab299b30e2620630056a63b04b0d7c6683f1d720daf,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH5,GBP_H4,GBPUSD,H4,MAIN,2.46,115.98,60,1.93,0bdebc5e54a88d9e06a644e48672aa395865ee391e7e44a86a6c69a4d2123ef2,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH5,USDJPY_H1,USDJPY,H1,BWD,1.11,44.1,267,2.4,c8f03150f2afd937cf5a684cb0432cc11c17e99ffbbc86f8eb02abd6208a3538,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH5,USDJPY_H1,USDJPY,H1,MAIN,1.56,263.54,274,3.65,e06c8b301f2f692f52e371eb4298ae953953b168825f7dd358926c198b43eafc,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH5,XAU_H4,XAUUSD,H4,BWD,1.52,508.14,137,7.59,67ba47ed60722093408a80a78963be2974b236ec71163710be9985a93af077ea,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH5,XAU_H4,XAUUSD,H4,MAIN,6.14,702.21,74,4.3,a96d0a87eda1a3c676d22ace7006c80af38287f3af06dd98734209e11231eabd,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
