Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score
1751,10279.22,15.183486,1.291327,5.537567,3.381645,9.3473,677,6,2.0,1.2,450,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,115.6707
2312,12667.62,18.683805,1.326565,5.347650,3.602306,10.9476,678,6,2.0,2.0,450,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,115.5500
1485,12667.62,18.683805,1.326565,5.347650,3.602306,10.9476,678,6,2.0,1.6,450,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,115.5500
1987,14724.56,21.339942,1.366985,4.960069,4.022729,12.0246,690,7,2.0,1.2,150,160,300,15,7,MAX_RECOVERY_STEPS_GT_3,115.2627
2139,14735.83,21.387271,1.366073,4.964869,4.006461,12.0173,689,7,2.0,1.2,150,160,300,45,7,MAX_RECOVERY_STEPS_GT_3,115.1402
2347,10468.78,15.982870,1.295668,5.533006,3.343400,9.4461,655,6,2.0,1.6,300,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,115.0337
2386,11350.98,16.841217,1.309581,5.729433,3.310362,12.8365,674,7,2.0,1.2,200,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,114.7807
1675,12106.11,17.596090,1.327685,5.307393,3.532036,10.6981,688,6,2.0,1.4,350,120,220,30,7,MAX_RECOVERY_STEPS_GT_3,114.4441
200,12089.90,17.598108,1.325737,5.316485,3.520120,10.6774,687,6,2.0,1.4,350,120,220,45,7,MAX_RECOVERY_STEPS_GT_3,114.3956
2036,12054.75,17.521439,1.326671,5.303150,3.514648,10.6906,688,6,2.0,1.4,350,120,220,15,7,MAX_RECOVERY_STEPS_GT_3,114.1544
1060,6880.22,10.683571,1.295069,5.743616,3.012455,8.4816,644,7,1.5,1.2,500,40,300,45,7,MAX_RECOVERY_STEPS_GT_3,114.0684
694,6412.81,8.796722,1.355633,5.588846,2.836898,7.9984,729,5,1.0,1.8,250,200,100,45,7,MAX_RECOVERY_STEPS_GT_3,113.2571
1655,10711.79,17.764163,1.318991,5.612940,3.164300,11.1617,603,7,2.0,2.0,400,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,112.5779
1588,6795.71,10.618297,1.291947,5.673067,2.977570,8.5307,640,7,1.5,1.2,500,40,300,15,7,MAX_RECOVERY_STEPS_GT_3,112.3937
1819,10685.62,17.691424,1.315640,5.600988,3.144943,11.1779,604,7,2.0,2.0,400,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,112.0696
1298,6763.78,10.618179,1.291602,5.646412,2.980257,8.5464,637,7,1.5,1.2,500,40,300,30,5,MAX_RECOVERY_STEPS_GT_3,111.9310
1610,9210.43,13.604771,1.303315,5.495778,3.177845,10.1617,677,7,1.5,1.4,300,120,300,45,5,MAX_RECOVERY_STEPS_GT_3,111.9137
1077,6756.70,10.607064,1.291360,5.640501,2.977124,8.5486,637,7,1.5,1.2,500,40,300,15,5,MAX_RECOVERY_STEPS_GT_3,111.7964
1706,10341.10,15.597436,1.294290,5.367344,3.293520,9.6607,663,6,2.0,1.2,450,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,111.7946
1179,7505.19,11.185082,1.272623,5.648819,2.831733,7.8827,671,7,1.5,1.2,250,80,180,45,5,MAX_RECOVERY_STEPS_GT_3,111.4705
1831,10630.73,17.629735,1.316577,5.568714,3.136467,11.2159,603,7,2.0,1.4,400,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,111.4461
2084,11081.71,17.261231,1.310260,5.197166,3.411195,10.2066,642,6,2.0,1.4,350,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,110.3929
2339,13903.16,20.266997,1.353071,4.806956,3.823519,12.0947,686,7,2.0,1.2,150,160,260,15,7,MAX_RECOVERY_STEPS_GT_3,109.9350
2202,13895.53,20.255875,1.352417,4.805814,3.820483,12.0954,686,7,2.0,1.2,150,160,260,30,7,MAX_RECOVERY_STEPS_GT_3,109.8599
2208,13898.34,20.289547,1.351715,4.808282,3.803396,12.0908,685,7,2.0,1.2,150,160,260,45,7,MAX_RECOVERY_STEPS_GT_3,109.6941
1633,8859.69,13.243184,1.295253,5.433659,3.043259,10.0902,669,7,1.5,1.8,300,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,109.1501
1937,9396.94,14.845087,1.264520,5.469124,2.899250,9.1722,633,6,2.0,1.6,300,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,108.0222
891,6570.84,10.479809,1.331183,5.326600,3.152620,10.2434,627,7,1.5,1.4,400,40,100,15,5,MAX_RECOVERY_STEPS_GT_3,107.9671
543,6718.60,10.630696,1.335395,5.255476,3.230214,10.4198,632,7,1.5,1.4,400,40,100,30,7,MAX_RECOVERY_STEPS_GT_3,107.7572
828,6329.14,9.812620,1.290893,5.547741,2.698914,8.3670,645,7,1.5,1.6,350,40,140,15,7,MAX_RECOVERY_STEPS_GT_3,107.7250
854,6707.12,10.612532,1.334822,5.242805,3.223273,10.4312,632,7,1.5,1.4,400,40,100,15,7,MAX_RECOVERY_STEPS_GT_3,107.4583
1616,12513.54,19.281263,1.360653,4.664010,3.881866,12.2131,649,6,2.5,1.2,150,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,107.2741
1312,8866.48,13.233552,1.294896,5.316719,3.055319,10.2993,670,7,1.5,1.4,300,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,107.2708
1156,6878.42,10.714050,1.316198,5.365006,3.055314,10.3898,642,7,1.5,1.4,400,40,180,15,7,MAX_RECOVERY_STEPS_GT_3,107.2380
1517,12499.64,19.259846,1.360253,4.658830,3.877186,12.2204,649,6,2.5,1.2,150,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,107.1199
1714,8861.90,13.246487,1.294980,5.309706,3.040513,10.3237,669,7,1.5,1.4,300,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,106.9747
487,6169.40,13.529386,1.220179,2.986981,2.437841,12.3746,456,7,2.0,2.0,400,160,180,30,3,,106.6389
1281,6470.56,10.336358,1.324510,5.252973,3.124340,10.2272,626,7,1.5,1.4,400,40,100,45,5,MAX_RECOVERY_STEPS_GT_3,106.3013
2070,11738.43,18.059123,1.326696,4.886289,3.483445,11.2702,650,6,2.0,1.6,450,120,300,15,5,MAX_RECOVERY_STEPS_GT_3,106.1938
683,12387.66,18.854886,1.351162,4.617093,3.871836,12.2533,657,6,2.5,1.0,150,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,106.1410
1907,12394.16,19.186006,1.360211,4.619515,3.852283,12.2803,646,6,2.5,1.2,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,106.1122
65,6615.80,10.484628,1.328786,5.178708,3.200576,10.4152,631,7,1.5,1.4,400,40,100,45,7,MAX_RECOVERY_STEPS_GT_3,106.0178
661,12373.38,18.833151,1.350757,4.611770,3.867000,12.2609,657,6,2.5,1.0,150,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,105.9824
1422,6722.02,10.552622,1.311149,5.347116,2.972023,10.3776,637,7,1.5,1.4,400,40,180,45,5,MAX_RECOVERY_STEPS_GT_3,105.8251
484,4142.93,6.296246,1.232391,2.927245,1.932724,10.0400,658,6,1.0,1.0,100,160,100,45,3,,105.7931
1411,6715.74,10.542763,1.310875,5.338299,2.971590,10.3822,637,7,1.5,1.4,400,40,180,30,5,MAX_RECOVERY_STEPS_GT_3,105.6702
1863,11837.85,18.212077,1.327754,4.890320,3.416403,11.2944,650,6,2.0,1.6,450,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,105.6416
1647,11837.85,18.212077,1.327754,4.890320,3.416403,11.2944,650,6,2.0,2.0,450,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,105.6416
1571,10191.79,15.280045,1.263337,5.353815,3.106096,12.2719,667,6,2.0,2.0,250,120,300,30,5,MAX_RECOVERY_STEPS_GT_3,105.4832
