sha1,duplicate_count,path
9f904592d35f59c9ec176fba0d374a8f6cdda6a7,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260517.log
9f904592d35f59c9ec176fba0d374a8f6cdda6a7,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260517.log
17b5069bb439d29d3aa8173e491bef572ab3f392,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260518.log
17b5069bb439d29d3aa8173e491bef572ab3f392,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260518.log
3ea526887e5931c2a8cf54f7fd23efe83d20e32a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260519.log
3ea526887e5931c2a8cf54f7fd23efe83d20e32a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260519.log
e11410aacd2ad53a68e6027250e4c5b9d724c6d0,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260520.log
e11410aacd2ad53a68e6027250e4c5b9d724c6d0,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260520.log
48c65f40de20628bf640f3bb90b3bab8b958df47,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260521.log
48c65f40de20628bf640f3bb90b3bab8b958df47,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260521.log
e10e20e56e9dba55a3daa8763761be82fe5f3eab,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260523.log
e10e20e56e9dba55a3daa8763761be82fe5f3eab,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260523.log
aa0176018d19d47eb37407b4936fa35bdc36c115,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260524.log
aa0176018d19d47eb37407b4936fa35bdc36c115,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260524.log
4e47083eeebfe8598530a0a9a3b873125db69dd5,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260525.log
4e47083eeebfe8598530a0a9a3b873125db69dd5,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260525.log
7b220f3b84bfdd97c60829ae2a1b89410bb0b8bd,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260526.log
7b220f3b84bfdd97c60829ae2a1b89410bb0b8bd,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260526.log
fe4e5babd655ba5301b20a1a274b267918fb65f4,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260528.log
fe4e5babd655ba5301b20a1a274b267918fb65f4,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260528.log
31ab404fa0495ad3e8aaebe095789c27c5ca476d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260529.log
31ab404fa0495ad3e8aaebe095789c27c5ca476d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260529.log
6ae505ad9d50a082c702fac2c5320df23043eef6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260530.log
6ae505ad9d50a082c702fac2c5320df23043eef6,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260530.log
7121fad75632abccef4ae06de38f731c0163660b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260531.log
7121fad75632abccef4ae06de38f731c0163660b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260531.log
c2bff98b03246985a7d8f6ccb5e9fb553c4c9063,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260601.log
c2bff98b03246985a7d8f6ccb5e9fb553c4c9063,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260601.log
447525c0ff2b9faaaa92092ad28dec19386cd536,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260603.log
447525c0ff2b9faaaa92092ad28dec19386cd536,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260603.log
c4731f0985fa24346485a938228475d66b4d2def,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\metaeditor.log
c4731f0985fa24346485a938228475d66b4d2def,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\metaeditor.log
ea03dbf4c4fdec08c9c51303329e0b29c87263fd,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\ReportTester-146237.html
ea03dbf4c4fdec08c9c51303329e0b29c87263fd,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\single\SINGLE_Gold_SMC_Continuous_MT5_RiskCapV1_tr686_profit13870.55_dd3847.43_sharpe3.59_20260604_215809.html
